Date,AAPL,ADDYY,AMZN,GOOGL,META,NKE,SBUX,TSLA,WMT
2023-01-04,0.010261354545709141,0.052375386779943814,-0.007955122776173124,-0.011738350643664935,0.02086469400990828,0.020504099189463935,0.035368177607079034,0.04997884108534127,0.0011135972196297137
2023-01-05,-0.010661223379228608,-0.006826922006830774,-0.02401157339665977,-0.02157528563124978,-0.003381675593667372,-0.004879462942073599,-0.0002870702087677808,-0.02946907696009933,-0.003414222631299698
2023-01-06,0.036133310218618736,0.03155604857797744,0.0349917378504728,0.013138257228675211,0.023973802024976613,0.03190149097173354,0.02141053146310191,0.02435215499827936,0.024203916109102174
2023-01-09,0.00408060944243536,0.005296041953913983,0.014760401298199752,0.007755548188680911,-0.0042391927661637255,0.002566297387913099,-0.018446406002137764,0.057654579278002493,-0.012545986701716916
2023-01-10,0.0044464014023949255,-0.0007926864535239437,0.028326693248784427,0.004534106423766657,0.02682485127104507,0.007898340078924896,0.011958005421084003,-0.007711027963739906,-0.000621092677325286
2023-01-11,0.02089252462404264,0.03186433968098102,0.05645956080731301,0.03445935347930582,-0.0007523526087467977,0.016550280431381365,0.0028261187689542513,0.036109204525613114,0.0087289755758538
2023-01-12,-0.0005994946402815901,0.021402606377229346,0.0018911574433712077,-0.004270441248840548,0.02834033424121959,-0.0003911305616118478,-0.004242331819423072,0.00275546279838757,-0.009074148479079261
2023-01-13,0.010068301593399002,0.00025062245341517497,0.029476316899670684,0.010805042281549958,0.0019730159170667882,0.00747865088741611,0.012953111041471621,-0.009432465746951967,0.0033091585959764734
2023-01-17,0.008718357451053016,0.01984435856660164,-0.021322326395198637,-0.009050805783307178,-0.011897139959505263,-0.0055256432667408345,-0.004486444589032814,0.07163646233055776,-0.006075248632310866
2023-01-18,-0.005384429802704276,-0.01584378118538558,-0.0061616190001011146,-0.001863899557340593,-0.01743834287770415,-0.013434628019774807,-0.016529286789448663,-0.020825332244057446,-0.0250319330803843
2023-01-19,0.00044355556277687837,-0.021438574719786947,-0.018822579439957077,0.02095967473962168,0.023257445491761265,-0.015142166937507995,-0.007072673807318366,-0.012580752996881307,-0.014374380653941518
